name,email,owner,address,state,total_customers
A&G,test1@test.com,test1,lorem ipsum,lorem,0
Custom Brands (Eclipse),test2@test.com,test2,lorem ipsum,lorem,0
Eastwing,test3@test.com,test3,lorem ipsum,lorem,0
LUMAR Fire,test4@test.com,test4,lorem ipsum,lorem,0
MC Mech,test5@test.com,test5,lorem ipsum,lorem,0
Mobile Mech,test6@test.com,test6,lorem ipsum,lorem,0
ORHMA,test7@test.com,test7,lorem ipsum,lorem,0
PPL Aquatic,test8@test.com,test8,lorem ipsum,lorem,0
Sun Mech,test9@test.com,test9,lorem ipsum,lorem,0
Vics Group,test10@test.com,test10,lorem ipsum,lorem,0
Daniels,test11@test.com,test11,lorem ipsum,lorem,0
Talize Inc,test12@test.com,test12,lorem ipsum,lorem,0
ventureLAB,test13@test.com,test13,lorem ipsum,lorem,0
Goodmark,test14@test.com,test14,lorem ipsum,lorem,0
